PolicyRecordNo,AgentID,CustomerID,PolicyID,StartDate
1,AGEN002,CUST011,POL004,20190901
2,AGEN019,CUST017,POL010,20190901
3,AGEN003,CUST019,POL002,20190901
4,AGEN003,CUST019,POL006,20190904
5,AGEN008,CUST013,POL008,20190908
6,AGEN018,CUST020,POL002,20190910
7,AGEN015,CUST010,POL008,20190914
8,AGEN009,CUST005,POL006,20190917
9,AGEN017,CUST012,POL008,20190917
10,AGEN007,CUST002,POL007,20190918
11,AGEN013,CUST009,POL005,20190921
12,AGEN012,CUST004,POL006,20191001
13,AGEN017,CUST012,POL005,20191004
14,AGEN019,CUST014,POL005,20191005
15,AGEN010,CUST001,POL002,20191006
16,AGEN003,CUST007,POL003,20191009
17,AGEN007,CUST002,POL006,20191012
18,AGEN009,CUST005,POL008,20191014
19,AGEN013,CUST009,POL001,20191014
20,AGEN001,CUST018,POL002,20191015
21,AGEN019,CUST014,POL007,20191016
22,AGEN017,CUST015,POL001,20191017
23,AGEN001,CUST018,POL010,20191017
24,AGEN009,CUST006,POL003,20191018
25,AGEN009,CUST006,POL007,20191019
26,AGEN010,CUST008,POL005,20191019
27,AGEN009,CUST005,POL007,20191021
28,AGEN019,CUST017,POL009,20191021
29,AGEN018,CUST003,POL005,20191022
30,AGEN019,CUST014,POL008,20191024
31,AGEN003,CUST019,POL001,20191029
32,AGEN003,CUST007,POL008,20191030
33,AGEN018,CUST020,POL008,20191101
34,AGEN017,CUST012,POL004,20191102
35,AGEN017,CUST012,POL003,20191102
36,AGEN015,CUST010,POL004,20191104
37,AGEN019,CUST017,POL002,20191107
38,AGEN003,CUST019,POL003,20191107
39,AGEN007,CUST002,POL010,20191108
40,AGEN019,CUST014,POL004,20191110
41,AGEN018,CUST003,POL004,20191112
42,AGEN001,CUST018,POL008,20191113
43,AGEN018,CUST020,POL007,20191114
44,AGEN007,CUST002,POL009,20191116
45,AGEN018,CUST020,POL006,20191116
46,AGEN008,CUST016,POL004,20191119
47,AGEN001,CUST018,POL005,20191120
48,AGEN015,CUST010,POL005,20191124
49,AGEN013,CUST009,POL007,20191129
50,AGEN008,CUST016,POL001,20191129
51,AGEN003,CUST007,POL010,20191201
52,AGEN012,CUST004,POL002,20191203
53,AGEN008,CUST016,POL010,20191203
54,AGEN019,CUST017,POL007,20191203
55,AGEN009,CUST006,POL001,20191204
56,AGEN010,CUST008,POL009,20191204
57,AGEN008,CUST013,POL010,20191204
58,AGEN010,CUST001,POL001,20191205
59,AGEN017,CUST012,POL001,20191213
60,AGEN015,CUST010,POL001,20191219
61,AGEN003,CUST007,POL009,20191220
62,AGEN017,CUST015,POL005,20191220
63,AGEN019,CUST017,POL003,20191220
64,AGEN010,CUST001,POL006,20191224
65,AGEN009,CUST005,POL004,20191227
66,AGEN008,CUST016,POL008,20191229
67,AGEN018,CUST003,POL007,20191231
68,AGEN001,CUST018,POL004,20200102
69,AGEN012,CUST004,POL009,20200106
70,AGEN009,CUST005,POL002,20200106
71,AGEN012,CUST004,POL001,20200108
72,AGEN017,CUST015,POL003,20200110
73,AGEN008,CUST013,POL003,20200114
74,AGEN008,CUST016,POL009,20200116
75,AGEN008,CUST013,POL005,20200118
76,AGEN019,CUST017,POL005,20200120
77,AGEN007,CUST002,POL001,20200121
78,AGEN018,CUST020,POL009,20200124
79,AGEN010,CUST008,POL010,20200125
80,AGEN018,CUST020,POL004,20200125
81,AGEN010,CUST001,POL008,20200127
82,AGEN009,CUST006,POL006,20200201
83,AGEN002,CUST011,POL003,20200201
84,AGEN012,CUST004,POL010,20200202
85,AGEN018,CUST003,POL003,20200203
86,AGEN003,CUST007,POL001,20200207
87,AGEN009,CUST006,POL008,20200210
88,AGEN002,CUST011,POL002,20200212
89,AGEN012,CUST004,POL004,20200213
90,AGEN017,CUST015,POL008,20200213
91,AGEN013,CUST009,POL002,20200214
92,AGEN018,CUST003,POL010,20200215
93,AGEN002,CUST011,POL001,20200215
94,AGEN009,CUST005,POL010,20200221
95,AGEN017,CUST015,POL006,20200225
96,AGEN008,CUST013,POL002,20200303
97,AGEN013,CUST009,POL004,20200306
98,AGEN008,CUST013,POL004,20200306
99,AGEN019,CUST014,POL009,20200310
100,AGEN007,CUST002,POL005,20200311
101,AGEN007,CUST002,POL004,20200312
102,AGEN013,CUST009,POL008,20200313
103,AGEN010,CUST008,POL001,20200315
104,AGEN010,CUST001,POL003,20200317
105,AGEN010,CUST008,POL008,20200318
106,AGEN015,CUST010,POL010,20200324
107,AGEN018,CUST020,POL010,20200324
108,AGEN002,CUST011,POL005,20200327
109,AGEN002,CUST011,POL007,20200327
110,AGEN009,CUST006,POL002,20200402
111,AGEN017,CUST012,POL002,20200402
112,AGEN019,CUST014,POL003,20200412
113,AGEN010,CUST001,POL010,20200415
114,AGEN008,CUST016,POL007,20200415
115,AGEN017,CUST012,POL007,20200416
116,AGEN003,CUST019,POL008,20200416
117,AGEN013,CUST009,POL006,20200419
118,AGEN015,CUST010,POL002,20200423
119,AGEN009,CUST006,POL009,20200425
120,AGEN003,CUST007,POL007,20200426
121,AGEN008,CUST016,POL006,20200429
122,AGEN003,CUST007,POL002,20200430
